name,sum,lang,link
MIT Alumni for Climate Action,"MIT Alumni for Climate Action, Group Leader Entrepreneurship, incl Publication.",2020 - Present,https://maca.earth/roadmap/
UNO Data Committee,"UN Private Sector, Committee Data Collection and Analysis for Food Security.",2021,https://www.fao.org/cfs
Mentoring Data Scientists,Mentoring of young Data Scientists from Africa and Latin America.,2022 - Present,
